"","session_id","id","x","y","counts","pa","key","dist2sq","rl_the_sq","rl_emp_sq"
"1650","T087","45,5","45","5",0,0,"T087_45,5",45.2769256906871,148.882461389442,139.195182762091
"1651","T088","45,5","45","5",0,0,"T088_45,5",45.2769256906871,148.882461389442,139.195182762091
"1652","T089","45,5","45","5",0,0,"T089_45,5",45.2769256906871,148.882461389442,139.195182762091
"1653","T090","45,5","45","5",0,0,"T090_45,5",45.2769256906871,148.882461389442,139.195182762091
"1654","C017","55,5","55","5",0,0,"C017_55,5",55.2268050859363,147.157001606532,137.068758897762
"1655","C018","55,5","55","5",0,0,"C018_55,5",55.2268050859363,147.157001606532,137.068758897762
"1656","C019","55,5","55","5",0,0,"C019_55,5",55.2268050859363,147.157001606532,137.068758897762
"1657","C020","55,5","55","5",0,0,"C020_55,5",55.2268050859363,147.157001606532,137.068758897762
"1658","C021","55,5","55","5",0,0,"C021_55,5",55.2268050859363,147.157001606532,137.068758897762
"1659","C022","55,5","55","5",0,0,"C022_55,5",55.2268050859363,147.157001606532,137.068758897762
"1660","C023","55,5","55","5",0,0,"C023_55,5",55.2268050859363,147.157001606532,137.068758897762
"1661","C024","55,5","55","5",0,0,"C024_55,5",55.2268050859363,147.157001606532,137.068758897762
"1662","C025","55,5","55","5",0,0,"C025_55,5",55.2268050859363,147.157001606532,137.068758897762
"1663","C026","55,5","55","5",0,0,"C026_55,5",55.2268050859363,147.157001606532,137.068758897762
"1664","C027","55,5","55","5",0,0,"C027_55,5",55.2268050859363,147.157001606532,137.068758897762
"1665","C028","55,5","55","5",0,0,"C028_55,5",55.2268050859363,147.157001606532,137.068758897762
"1666","C029","55,5","55","5",0,0,"C029_55,5",55.2268050859363,147.157001606532,137.068758897762
"1667","C030","55,5","55","5",0,0,"C030_55,5",55.2268050859363,147.157001606532,137.068758897762
"1668","C031","55,5","55","5",0,0,"C031_55,5",55.2268050859363,147.157001606532,137.068758897762
"1669","C032","55,5","55","5",0,0,"C032_55,5",55.2268050859363,147.157001606532,137.068758897762
"1670","T048","55,5","55","5",0,0,"T048_55,5",55.2268050859363,147.157001606532,137.068758897762
"1671","T049","55,5","55","5",0,0,"T049_55,5",55.2268050859363,147.157001606532,137.068758897762
"1672","T050","55,5","55","5",0,0,"T050_55,5",55.2268050859363,147.157001606532,137.068758897762
"1673","T051","55,5","55","5",0,0,"T051_55,5",55.2268050859363,147.157001606532,137.068758897762
"1674","T052","55,5","55","5",0,0,"T052_55,5",55.2268050859363,147.157001606532,137.068758897762
"1675","T053","55,5","55","5",0,0,"T053_55,5",55.2268050859363,147.157001606532,137.068758897762
"1676","T054","55,5","55","5",0,0,"T054_55,5",55.2268050859363,147.157001606532,137.068758897762
"1677","T055","55,5","55","5",0,0,"T055_55,5",55.2268050859363,147.157001606532,137.068758897762
"1678","T056","55,5","55","5",0,0,"T056_55,5",55.2268050859363,147.157001606532,137.068758897762
"1679","T057","55,5","55","5",0,0,"T057_55,5",55.2268050859363,147.157001606532,137.068758897762
"1680","T058","55,5","55","5",0,0,"T058_55,5",55.2268050859363,147.157001606532,137.068758897762
"1681","T059","55,5","55","5",0,0,"T059_55,5",55.2268050859363,147.157001606532,137.068758897762
"1682","T061","55,5","55","5",0,0,"T061_55,5",55.2268050859363,147.157001606532,137.068758897762
"1683","T062","55,5","55","5",0,0,"T062_55,5",55.2268050859363,147.157001606532,137.068758897762
"1684","T063","55,5","55","5",0,0,"T063_55,5",55.2268050859363,147.157001606532,137.068758897762
"1685","T064","55,5","55","5",0,0,"T064_55,5",55.2268050859363,147.157001606532,137.068758897762
"1686","T065","55,5","55","5",0,0,"T065_55,5",55.2268050859363,147.157001606532,137.068758897762
"1687","T066","55,5","55","5",0,0,"T066_55,5",55.2268050859363,147.157001606532,137.068758897762
"1688","T067","55,5","55","5",0,0,"T067_55,5",55.2268050859363,147.157001606532,137.068758897762
"1689","T068","55,5","55","5",0,0,"T068_55,5",55.2268050859363,147.157001606532,137.068758897762
"1690","T069","55,5","55","5",0,0,"T069_55,5",55.2268050859363,147.157001606532,137.068758897762
"1691","T070","55,5","55","5",0,0,"T070_55,5",55.2268050859363,147.157001606532,137.068758897762
"1692","T071","55,5","55","5",0,0,"T071_55,5",55.2268050859363,147.157001606532,137.068758897762
"1693","T072","55,5","55","5",0,0,"T072_55,5",55.2268050859363,147.157001606532,137.068758897762
"1694","T073","55,5","55","5",0,0,"T073_55,5",55.2268050859363,147.157001606532,137.068758897762
"1695","T074","55,5","55","5",0,0,"T074_55,5",55.2268050859363,147.157001606532,137.068758897762
"1696","T075","55,5","55","5",0,0,"T075_55,5",55.2268050859363,147.157001606532,137.068758897762
"1697","T076","55,5","55","5",0,0,"T076_55,5",55.2268050859363,147.157001606532,137.068758897762
"1698","T078","55,5","55","5",0,0,"T078_55,5",55.2268050859363,147.157001606532,137.068758897762
"1699","T079","55,5","55","5",0,0,"T079_55,5",55.2268050859363,147.157001606532,137.068758897762
"1700","T080","55,5","55","5",0,0,"T080_55,5",55.2268050859363,147.157001606532,137.068758897762
"1701","T081","55,5","55","5",0,0,"T081_55,5",55.2268050859363,147.157001606532,137.068758897762
"1702","T082","55,5","55","5",0,0,"T082_55,5",55.2268050859363,147.157001606532,137.068758897762
"1703","T083","55,5","55","5",0,0,"T083_55,5",55.2268050859363,147.157001606532,137.068758897762
"1704","T084","55,5","55","5",0,0,"T084_55,5",55.2268050859363,147.157001606532,137.068758897762
"1705","T085","55,5","55","5",0,0,"T085_55,5",55.2268050859363,147.157001606532,137.068758897762
"1706","T086","55,5","55","5",0,0,"T086_55,5",55.2268050859363,147.157001606532,137.068758897762
